April	Abril
Chinese	Tsina
Christmas	[pasko
Epirus	Epiro
Good Friday	[biyernes santo , mahal na araw
Mongolian	Mongolian, Monggolyan
Mongolian	Mongolian, Monggolyan
Mongolian	Mongolian, Monggolyan
Mongolian	Mongolian, Monggolyan
November	nobyembre
Odyssey	Odiseya (f)
Philippines	Pilipinas, Filipinas
Serbian	Serbian, Serbyo
Serbian	Serbian, Serbyo
Serbian	Serbian, Serbyo
Serbian	Serbian, Serbyo
Wikisaurus:foreskin	supot; serious insult)
Wikisaurus:foreskin	suput; serious insult)
Wikisaurus:glans	ulo [ooh-loh]
abacus	abakus, abako
alphabet	alpabeto
anachronistic	Laos na
apple	mansanas (f)
arrive	dumating
beautiful	maganda
become	magíng
beer	serbesa
big	malaki
blowjob	tsupa
bring	dalhín
bye	paalam
cat	pusa
cheese	keso
culture	kultura
dance	sayaw
depart	umalís
dick	titi
dinner	hapunan
drink	uminóm
drink	uminóm
drunk	lasing
eat	kumain
eco-	eko-
flour	arina
food	pagkain
freedom	Kalayaan (f)
friar	frayle
give	magbigáy
go	magpatuloy
good	mabuti
goodbye	paalam
hay	ginikan, dayami
heaven	paraiso, langit
hi	helo, hoy
leave	umalís
like	magustohan
love	umibig
lunch	tanghalian
make	gumawâ
masturbation	salsal, jackol, bate
meet	magtagpô
new	bago
new	bago
new	bago
new	bago
new	bago
new	bago
new	baguhan
nut	bayag
nut	mani
nut	tanga, baliw
penis	pitotoy, putotoy
pope	papa (more common: &quot;Santo Papa&quot;)
pussy	kuting
pussy	puday, puke
return	magbalík
road	kalye
say	magsabi
scrotum	bayag
snack	meryenda
soul	kalag
tame	maamo
thank you	salamat
tongue	dila
ugly	panghet
understand	maintidihan
want	magustohan
who	sino
you	ikaw ; kayo "formal"
you	kayo
zero	sero
zero	wala
